000100000020000002000000200021011001202110,4,1000,26609894
000000000000000000000020000012001001201210,2,170,24823590
000000000000000000000001000000200000010000,4,10,8098553
000000000000000000000001000000200001012000,4,40,30698333
000000000000000000000001100000220001012000,1,60,24908486
000000000000000000000001100020220001012010,1,60,44931638
000000000000000001000201100020220001012010,1,60,21822570
000000000000002001000201100020220001112010,1,150,38953870
000000000000000000000000002000001100000210,5,10,1209465
000000000000000000000000022000001101000210,1,20,26399669
000000000000000000000000022020001101100210,3,20,23382437
000000000000000000100000022020001101120210,1,30,25162858
000000000001000000100200022020001101120210,1,30,35393213
000000000001002000110200022020001101120210,1,140,30656198
000000000000000000000000000001000000120000,2,10,37528117
000000000000000000000020000001000001120000,2,30,41764190
000000000000000200000020000001100001120000,2,30,1713928
000000002000000200000020000001100001121000,2,170,40003635
000000000000000000000000000001200002110000,3,30,43458140
000000000000000010000002000001200002110000,2,30,5137831
000000000000000110000022000001200002110000,4,50,26028547
000000000000000110000022000001200002112100,4,50,29217641
000000001000000110000022000001220002112100,4,130,35911410
010000001000000110000022200001220002112100,2,1000,34933258
000000000000000000000000000000120000121000,4,50,34508595
000000000000000000000001200000120000121000,4,50,15918633
000000000000000002000001200000120001121000,4,170,20539763
000000000000000100000020000001000000120000,3,10,27514264
000000000000000100000020000001200000121000,3,30,12357316
000000001000000100000022000001200000121000,3,170,39741764
000000000000000000000000000000020000001010,5,30,27914328
000000000000000000000000000000020000101210,4,50,48119649
000000000000000000000000200000020001101210,3,70,2704313
000000000000000000000000200000120001121210,3,70,52556
000000000000000000000002200010120001121210,3,100,34589394
000000000000000020000002200010120101121210,2,100,10766492
000000000000000020000012200012120101121210,2,140,699456
000000000000000200000020000011000001201210,2,40,18807078
000000002000000200000020000011010001201210,2,160,24053367
000000000000000000000000000000000001210000,3,30,12558419
000000000000000000000000000000200001210010,3,40,10905340
000000000000000000000002000000200001210110,4,50,9620526
000000000000000000000002000001200001212110,2,50,19088412
000000000000000000000022000001210001212110,4,140,24411345
000000000000000010000022200001210001212110,1,140,7157451
000000000000000010000022200021211001212110,1,140,688873
000000000000000000000000200000021000101210,1,50,37170933
000000000000000000000000200010021002101210,4,70,3047361
000000000000000002000000200010021102101210,4,160,29102677
000000000000000000000000000000000100202110,4,30,21937082
000000000000000000000000100000020100202110,2,30,24310321
000000000000000000000000100002021100202110,2,40,5086072
000000000000000000000020101002021100202110,2,160,12218668
000000000000000000000000000000001000200100,5,0,25446469
000000000000000000000000020000001000210100,2,0,6249140
000000000000000000000010020002001000210100,2,0,12768410
000000000000000200000010020002001000211100,6,0,33679541
000000000000000200000010020002001001211120,2,20,31562936
000000002000000200000010020002011001211120,5,30,17113668
000000002000000200200010020012011001211120,5,110,33140093
000000002002000200200010020012111001211120,5,130,31435555
000000000000000000000000000000001002100210,5,20,40816295
000000000000000000100000020000001002100210,2,20,34444730
000000000000000000100000020002001002110210,2,20,38056435
000000000000000100100020020002001002110210,3,20,29551467
000000000000000100100021020002201002110210,1,40,10850174
000000000000000110100021020022201002110210,2,40,32869396
000000002000000110100121020022201002110210,1,120,22887617
010000002000002110100121020022201002110210,2,1000,20364197
000000000000000000000000000000000001210120,3,30,12023631
000000000000000000000001000000200001210120,5,40,1755937
000000000000000000000001000000202101210120,2,70,16871813
000000000000000010000001000002202101210120,5,70,10328889
000000000000000010000001020012202101210120,4,130,3061736
000000000000000010000101020012202101212120,4,140,32072851
000000000000000000000020000001000001200010,5,30,24529973
000000000000000000000020000001001001200210,2,30,3810360
000000000000000200000020000001001001201210,2,40,7039274
000000002000000200000020000001001001211210,2,160,37916027
000000000000000000000000000000020001201100,6,30,590194
000000000000000000000000000000021001201120,5,40,23216227
000000000000000000000000020000021101201120,4,60,27930217
000000000000000000000000220000021101211120,2,130,31638865
000000000000000000100000220002021101211120,1,130,30128117
000000000000000000100100220022021101211120,3,140,33701527
000000000000000000000000000000000000120100,3,20,28404966
000000000000000000000000000001200000120100,3,30,21092034
000000000000000000000012000001200000120100,3,180,21818367
000000000000000000000000020000001002101210,1,20,29418697
000000000000000000000000020020001102101210,1,40,30991329
000000000000000000000200020020011102101210,1,160,31352814
000000000000000000000000000000200001120100,1,30,6783293
000000000000000000000000000020200001121100,3,40,44992690
000000000000000000000002000020200001121110,3,170,10594211
000000000000000000000000000000000002110210,5,30,1918451
000000000000000000000000000010002002110210,2,30,39519791
000000000000000000000000000012002002111210,4,130,39457087
000000000000000000000000100012022002111210,3,160,11377226
000000000000000000000000000001002000201100,6,0,21659871
000000000000000000000000000001002000211120,4,40,18858152
000000000000000000000000100001022000211120,6,40,1684232
000000000000000000000000100001022201211120,3,160,19705039
000000000000000000000020000001000001210120,2,20,34085798
000000000000000200000020000001000101210120,2,20,11834211
010000002000000200000020000001000101210120,2,1000,15461645
000000000000000000100000020000001000200100,3,10,12802553
000000000000000000100000020000001001220100,6,20,11479777
000000000000000000100000020001001001220120,2,20,34332036
000000000000000000100020020001001001221120,4,40,971849
000000000000000000100020020001021101221120,4,60,27657561
